u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
772998822,539689895,0,3238141,A4155,Marlow Road,primary,30 mph,False,36.476,"LINESTRING (-0.9050415000000001 51.5413607, -0.9049826 51.5415598, -0.9049321 51.5416814)",,,,,,"[(-0.9050415, 51.5413607), (-0.9049826, 51.5415598), (-0.9049321, 51.5416814)]"
772998822,29009852,0,4586364,A4155,Northfield End,primary,30 mph,False,30.918,"LINESTRING (-0.9050415000000001 51.5413607, -0.9048579 51.541174, -0.9048584 51.5411148)",,,,,,"[(-0.9050415, 51.5413607), (-0.9048579, 51.541174), (-0.9048584, 51.5411148)]"
772998822,420339379,0,35959529,,Rupert Lane,residential,,False,52.054,"LINESTRING (-0.9050415000000001 51.5413607, -0.9047592 51.5413617, -0.9045702 51.5413782, -0.9044174 51.5414008, -0.9043263 51.5414517)",,,,,,"[(-0.9050415, 51.5413607), (-0.9047592, 51.5413617), (-0.9045702, 51.5413782), (-0.9044174, 51.5414008), (-0.9043263, 51.5414517)]"
772998822,2234178,0,135000014,A4130,Northfield End,primary,30 mph,False,55.537,"LINESTRING (-0.9050415000000001 51.5413607, -0.9052244 51.5413796, -0.9053696 51.5414446, -0.9056752 51.5416404)",,,,,,"[(-0.9050415, 51.5413607), (-0.9052244, 51.5413796), (-0.9053696, 51.5414446), (-0.9056752, 51.5416404)]"
772998840,1483367746,0,4586365,A4155,Bell Street,primary,30 mph,True,2.214,"LINESTRING (-0.9047674 51.5410529, -0.9047809999999999 51.5410391, -0.9047857 51.5410368)",,roundabout,,,,"[(-0.9047674, 51.5410529), (-0.904781, 51.5410391), (-0.9047857, 51.5410368)]"
772998840,420339378,0,135000015,,Bell Lane,residential,,False,32.503,"LINESTRING (-0.9047674 51.5410529, -0.9046944 51.54103, -0.9043177 51.5409716)",,,,private,,"[(-0.9047674, 51.5410529), (-0.9046944, 51.54103), (-0.9043177, 51.5409716)]"
974138855,974138858,0,83653453,,Lambridge Wood Road,residential,,False,65.581,"LINESTRING (-0.9227880000000001 51.5474982, -0.922911 51.5469134)",,,,,,"[(-0.922788, 51.5474982), (-0.922911, 51.5469134)]"
974138855,974145670,0,83653476,,Lambridge Wood Road,residential,30 mph,False,15.523,"LINESTRING (-0.9227880000000001 51.5474982, -0.9226707 51.5475075, -0.9225646 51.5475108)",,,,,,"[(-0.922788, 51.5474982), (-0.9226707, 51.5475075), (-0.9225646, 51.5475108)]"
974138855,974138966,0,83653476,,Lambridge Wood Road,residential,30 mph,False,213.597,"LINESTRING (-0.9227880000000001 51.5474982, -0.9231025 51.5475821, -0.9233943 51.5476304, -0.9237315 51.5476916, -0.9240755 51.5477679, -0.9243576999999999 51.5478583, -0.9245177 51.5479154, -0.9249379 51.548086, -0.9254999 51.5483704)",,,,,,"[(-0.922788, 51.5474982), (-0.9231025, 51.5475821), (-0.9233943, 51.5476304), (-0.9237315, 51.5476916), (-0.9240755, 51.5477679), (-0.9243577, 51.5478583), (-0.9245177, 51.5479154), (-0.9249379, 51.548086), (-0.9254999, 51.5483704)]"
974138855,974145597,0,83654696,,Lambridge Wood Road,service,,False,21.325000000000003,"LINESTRING (-0.9227880000000001 51.5474982, -0.9228258 51.5475471, -0.9228429 51.5476044, -0.9228098 51.5476503, -0.9227746999999999 51.5476693)",,,,,,"[(-0.922788, 51.5474982), (-0.9228258, 51.5475471), (-0.9228429, 51.5476044), (-0.9228098, 51.5476503), (-0.9227747, 51.5476693)]"
974138858,974138855,0,83653453,,Lambridge Wood Road,residential,,False,65.581,"LINESTRING (-0.922911 51.5469134, -0.9227880000000001 51.5474982)",,,,,,"[(-0.922911, 51.5469134), (-0.922788, 51.5474982)]"
974138964,974138966,0,83653476,,Lambridge Wood Road,residential,30 mph,False,47.99,"LINESTRING (-0.9259035 51.5480193, -0.9254999 51.5483704)",,,,,,"[(-0.9259035, 51.5480193), (-0.9254999, 51.5483704)]"
974138966,974138964,0,83653476,,Lambridge Wood Road,residential,30 mph,False,47.99,"LINESTRING (-0.9254999 51.5483704, -0.9259035 51.5480193)",,,,,,"[(-0.9254999, 51.5483704), (-0.9259035, 51.5480193)]"
