osmid,y,x,street_count,highway,geometry
7958808865,51.5306122,-0.8954033,1,,POINT (-0.8954033 51.5306122)
8024114076,51.5416391,-0.904322,1,,POINT (-0.904322 51.5416391)
8114512099,51.5401751,-0.9182634,4,,POINT (-0.9182634 51.5401751)
8114512101,51.5399834,-0.9184725,3,,POINT (-0.9184725 51.5399834)
8114512102,51.5400725,-0.9187066,1,,POINT (-0.9187066 51.5400725)
8154291336,51.5272129,-0.9217423,1,,POINT (-0.9217423 51.5272129)
8154291337,51.527261,-0.9211939,3,,POINT (-0.9211939 51.527261)
8193457770,51.5362715,-0.9077319,1,,POINT (-0.9077319 51.5362715)
8193675695,51.544837,-0.9134143,1,,POINT (-0.9134143 51.544837)
8193675699,51.5449311,-0.9126022,4,,POINT (-0.9126022 51.5449311)
8193675700,51.545016,-0.9124298,3,,POINT (-0.9124298 51.545016)
8193683423,51.5451765,-0.9047387,1,,POINT (-0.9047387 51.5451765)
8230572896,51.5475557,-0.917533,1,,POINT (-0.917533 51.5475557)
8230572897,51.5478268,-0.9169562,3,,POINT (-0.9169562 51.5478268)
8247494940,51.5293364,-0.9221911,3,,POINT (-0.9221911 51.5293364)
8247494943,51.5296117,-0.9214615,1,,POINT (-0.9214615 51.5296117)
8283653722,51.5267433,-0.8960852,3,,POINT (-0.8960852 51.5267433)
8283653726,51.5273164,-0.8961231,1,,POINT (-0.8961231 51.5273164)
8283653727,51.526711,-0.8962532,1,,POINT (-0.8962532 51.526711)
8284930160,51.5268937,-0.8973131,3,,POINT (-0.8973131 51.5268937)
8284930163,51.5270561,-0.8978908,3,,POINT (-0.8978908 51.5270561)
8284930164,51.5272057,-0.8979696,1,,POINT (-0.8979696 51.5272057)
8284930165,51.5269589,-0.8978424,3,,POINT (-0.8978424 51.5269589)
8284930167,51.5269305,-0.8978756,1,,POINT (-0.8978756 51.5269305)
8284930168,51.5269709,-0.8977747,3,,POINT (-0.8977747 51.5269709)
8284930169,51.5269512,-0.8977636,1,,POINT (-0.8977636 51.5269512)
8284930172,51.5271006,-0.8974677,3,,POINT (-0.8974677 51.5271006)
8284930173,51.5271248,-0.8975965,3,,POINT (-0.8975965 51.5271248)
8284930174,51.5272352,-0.897658,1,,POINT (-0.897658 51.5272352)
8284930175,51.527024,-0.8978748,3,,POINT (-0.8978748 51.527024)
8284930176,51.5270045,-0.8979616,1,,POINT (-0.8979616 51.5270045)
8284934647,51.527001,-0.8977312,3,,POINT (-0.8977312 51.527001)
8284934648,51.5268338,-0.8975973,3,,POINT (-0.8975973 51.5268338)
8299389139,51.5473716,-0.9214904,3,,POINT (-0.9214904 51.5473716)
8299389145,51.547838,-0.9216599,1,,POINT (-0.9216599 51.547838)
8299471476,51.5277638,-0.9211143,3,,POINT (-0.9211143000000001 51.5277638)
8299471480,51.5276563,-0.9216323,1,,POINT (-0.9216323 51.5276563)
8299937105,51.5329665,-0.898836,1,,POINT (-0.898836 51.5329665)
8318581519,51.5428618,-0.9107262,1,,POINT (-0.9107262 51.5428618)
8378611063,51.5371089,-0.914137,3,,POINT (-0.914137 51.5371089)
